3	3.23	-20	4246.6	1280.55	2123.97	
3.1	3.23	-20	5584.23	1485.62	1432.55	
3.2	3.23	-20	6808.89	2018.5	1743.11	
3.3	3.23	-20	7056.14	2563.95	3361.25	
3.4	3.23	-20	6389.84	2182.3	2462.34	
3.5	3.23	-20	6139.55	2627.89	3105.32	
3.6	3.23	-20	7065.52	4991.07	7838.18	
3.7	3.23	-20	7923.99	7369.84	13961.4	
3.8	3.23	-20	10364.5	13352.6	25165.6	
3.9	3.23	-20	14492.7	29195.4	68555	
4	3.23	-20	17879.4	44132.1	111855	
4.1	3.23	-20	22326.7	66707.1	181697	
4.2	3.23	-20	19312.6	50805.8	131331	
4.3	3.23	-20	17818.6	44060.6	112125	
4.4	3.23	-20	14133.3	29798.4	72720.2	
4.5	3.23	-20	9915.86	11737.6	20945.6	
4.6	3.23	-20	8428.98	9332.96	17575.6	
4.7	3.23	-20	6417.63	3865.45	4854.8	
4.8	3.23	-20	5676.69	3771.74	6397.57	
4.9	3.23	-20	4931.85	2870.34	5460.17	
5	3.23	-20	4318.59	2481.12	5098.64	
5.1	3.23	-20	3984.14	1583.81	2236.15	
5.2	3.23	-20	3548.87	1667.16	3215.86	
